"geoid","temp","rh","wbt"
"17045",24.4,80.2,71.2
"17047",25.8,77.3,72.9
"17049",24.7,79.9,71.7
"17051",25.1,78,71.9
"17053",23.7,82.2,70.5
"17055",26.2,76.3,73.3
"17057",24.2,80.4,70.9
"17059",26.2,77.1,73.5
"17061",24.8,79.8,71.8
"17063",23.6,81,70
"17065",26.1,77.1,73.4
"17067",24.2,80.5,70.9
"17069",26.2,77.1,73.5
"17071",24,80.7,70.6
"17073",23.8,80.8,70.3
"17075",23.6,81.6,70.2
"17077",26.3,75.6,73.3
"17079",25,78.5,71.8
"17081",25.6,76.5,72.3
"17083",25.5,76.6,72.2
"17085",24.1,71.9,68.7
"17087",26.5,77.5,74.1
"17089",23.5,75.7,68.6
"17091",23.5,81.6,70
"17093",23.6,79.8,69.7
"17095",23.8,81.1,70.4
"17097",24,68.9,67.7
"17099",23.7,80.6,70.1
"17101",25.6,77.9,72.7
"17103",23.5,78.5,69.2
"17105",23.7,82.5,70.5
"17107",23.9,81.8,70.7
"17109",24.2,80.6,71
"17111",24,68.9,67.7
"17113",23.7,80.8,70.1
"17115",24.1,81.1,70.9
"17117",24.8,79.8,71.8
"17119",25.5,77.1,72.3
"17121",25.4,77.1,72.2
"17123",23.7,80.6,70.1
"17125",24.1,80.8,70.8
"17127",26.5,77.4,74.1
"17129",24.3,80.7,71.2
"17131",23.9,80.6,70.4
"17133",25.9,75.9,72.7
"17135",24.5,80.4,71.4
"17137",24.4,80.6,71.3
"17139",24.3,80.7,71.2
"17141",23.7,74.8,68.7
"17143",23.9,80.5,70.4
"17145",26.3,75.5,73.3
"17147",24,82,71
"17149",24.6,80.7,71.7
"17151",26.5,77.5,74.1
"17153",26.6,76.4,74
"17155",23.7,80.6,70.1
"17157",26.1,75.2,72.9
"17159",25.6,77.8,72.7
"17161",24,79.1,70.2
"17163",25.5,77.1,72.3
"17165",26.3,76.5,73.5
"17167",24.3,81.3,71.3
"17169",24.3,80.3,71.1
"17171",24.6,80.5,71.6
"17173",24.4,80.3,71.2
"17175",23.8,81,70.4
"17177",24,71.1,68.3
"17179",23.9,81.3,70.6
"17181",26.5,75.9,73.7
"17183",23.9,81.5,70.7
"17185",25.8,77.3,72.9
"17187",24.1,80.7,70.8
"17189",26.2,75.8,73.2
"17191",25.8,77.4,72.9
"17193",25.8,77.5,72.9
"17195",23.8,79,69.9
"17197",23.6,80.7,69.9
"17199",26.2,75.2,73
"17201",24,71.1,68.3
"17203",23.7,82.3,70.5
"18001",23.4,77.5,68.8
"18003",23.2,78,68.6
"18005",24,79.2,70.3
"18007",23.6,81.1,70
"18009",23.4,77.9,68.9
"18011",23.7,78.9,69.7
"18013",23.9,79.7,70.2
"18015",23.7,80.8,70.1
"18017",23.2,79.8,69
"18019",24.7,77.3,71
"18021",24.4,80.2,71.2
"18023",23.4,80.4,69.5
"18025",25.3,78.2,72.3
"18027",25.1,78.2,71.9
"18029",24.7,78.3,71.3
"18031",23.9,79.5,70.2
"18033",23,77.6,68.2
"18035",23.6,78.2,69.3
"18037",25.3,78.2,72.3
"18039",22.8,78.1,67.9
"18041",23.7,79.4,69.8
"18043",25.5,76.6,72.2
"18045",24,81.1,70.7
"18047",23.8,79.5,70
"18049",23,79.9,68.7
"18051",25.8,77.3,72.9
"18053",23.4,79,69.2
"18055",24.6,80.4,71.6
"18057",23.6,79,69.5
"18059",23.8,79.1,69.9
"18061",25.5,77.3,72.4
"18063",23.8,79.9,70.1
"18065",23.4,77,68.7
"18067",23.3,80.1,69.3
"18069",23.2,78.5,68.7
"18071",24.9,78.8,71.7
"18073",23.5,80.7,69.8
"18075",23.6,77.1,69.1
"18077",24.2,78.5,70.4
"18079",24.2,78.5,70.4
"18081",23.8,79.7,70
"18083",25.6,77.9,72.7
"18085",23,79,68.5
"18087",22.8,78.1,67.9
"18089",23.4,80.5,69.5
"18091",23.3,81.1,69.5
"18093",24.8,79.3,71.7
"18095",23.6,79,69.5
"18097",23.8,78.9,69.9
"18099",22.9,79.7,68.5
"18101",24.8,79.4,71.7
"18103",23.2,79.2,68.9
"18105",24.4,80.9,71.4
"18107",24,81.1,70.7
"18109",24.4,80.9,71.4
"18111",23.6,81,70
"18113",22.8,78.1,67.9
"18115",24.9,76.6,71.2
"18117",24.9,79.3,71.8
"18119",23.9,79.9,70.3
"18121",23.9,79.4,70.1
"18123",25.3,78.2,72.3
"18125",25.8,77.4,72.9
"18127",23.3,81.1,69.5
"18129",25.9,76.9,73
"18131",23.6,80.7,69.9
"18133",23.9,79.4,70.1
"18135",23.4,76.8,68.7
"18137",24.7,78.3,71.3
"18139",23.7,79.4,69.8
"18141",22.8,78.8,68.1
"18143",24.7,77.3,71
"18145",23.8,79.7,70
"18147",25.9,77.4,73.1
"18149",23.4,81,69.7
"18151",22.7,78.1,67.8
"18153",24.9,78.5,71.6
"18155",24.3,78.6,70.6
"18157",23.8,81,70.4
"18159",23.7,78.9,69.7
"18161",23.8,79.5,70
"18163",25.9,76.9,73
"18165",24.1,80.9,70.9
"18167",24.4,80.2,71.2
"18169",23.4,79,69.2
"18171",23.8,81.4,70.5
"18173",26.1,76.6,73.2
"18175",24.8,79.3,71.7
"18177",23.3,77.7,68.7
"18179",23.4,77.5,68.8
"18181",23.7,80.8,70.1
"18183",23,78.2,68.3
"19001",25.3,67.6,69.6
"19003",25,71.3,70
"19005",23.9,69.7,67.8
"19007",24.4,76.9,70.4
"19009",25.3,65.5,69
"19011",24.8,69.2,69.2
"19013",25.5,62.4,68.6
"19015",25.6,61.4,68.4
"19017",24.9,61.8,67.4
"19019",24.6,68.6,68.7
"19021",24.7,64.2,67.7
"19023",24.8,62,67.3
"19025",24.9,63.7,67.9
"19027",25.3,65.5,69
"19029",25.4,67.3,69.7
"19031",24.1,78.5,70.3
"19033",24.2,64.9,67.1
"19035",24.9,64.9,68.2
"19037",24.7,62.2,67.2
"19039",24.8,72.5,70
"19041",25,61.9,67.6
"19043",24.7,66.1,68.2
"19045",24,78.2,70
"19047",25.4,65.6,69.2
"19049",26.2,63.5,70
"19051",24.4,76.5,70.3
"19053",24.8,75.7,70.8
"19055",24.2,71,68.6
"19057",24,80.7,70.6
"19059",25,58.7,66.8
"19061",24.6,67.6,68.4
"19063",25.3,58.6,67.2
"19065",24.6,64.6,67.6
"19067",24.8,62,67.3
"19069",24.8,63.7,67.7
"19071",26.1,66.1,70.5
"19073",25.4,63.9,68.8
"19075",25.6,62.6,68.8
"19077",25.4,66,69.3
"19079",25.8,59.4,68.2
"19081",24.6,63.5,67.4
"19083",26.1,60.5,69
"19085",25.3,66.9,69.4
"19087",24.2,80.2,70.9
"19089",24.2,63.2,66.6
"19091",25,62.3,67.7
"19093",24.9,66.2,68.6
"19095",24.6,71.9,69.5
"19097",24,73.9,69
"19099",25.7,64.1,69.3
"19101",24.4,79.7,71.1
"19103",24.5,71.9,69.3
"19105",23.8,75.6,69.1
"19107",24.2,76.2,69.9
"19109",24.8,61.7,67.2
"19111",24.5,79.3,71.2
"19113",24.1,72.7,68.8
"19115",24.1,79.7,70.6
"19117",25.1,71,70.1
"19119",25.9,59.7,68.5
"19121",25.3,67.6,69.6
"19123",24.3,74.1,69.5
"19125",24.8,71.7,69.8
"19127",26.1,60.5,69
"19129",25.9,66.5,70.3
"19131",24.2,63.8,66.8
"19133",25.2,66.8,69.2
"19135",25.1,71,70.1
"19137",25.6,67.1,69.9
"19139",24.2,78.5,70.4
"19141",24.8,61,67
"19143",24.7,59.9,66.6
"19145",25.8,67.6,70.4
"19147",25,61.9,67.6
"19149",25.8,60.7,68.6
"19151",24.9,63.7,67.9
"19153",26.1,63.3,69.8
"19155",25.4,67,69.6
"19157",24.8,70.2,69.4
"19159",25,72.4,70.3
"19161",24.9,66.2,68.6
"19163",24,79.1,70.2
"19165",25.3,66.5,69.3
"19167",25.3,62.2,68.2
"19169",26.1,61,69.2
"19171",25.2,66.8,69.2
"19173",25.8,67.6,70.4
"19175",24.9,70.6,69.7
"19177",24.5,79.3,71.2
"19179",24.2,76.2,69.9
"19181",25.6,67.8,70.1
"19183",24.4,78.3,70.7
"19185",25,72.5,70.3
"19187",25.1,63.2,68.1
"19189",24.7,61.8,67.1
"19191",24.2,64.3,66.9
"19193",25.9,61.9,69.1
"19195",24.3,63.3,66.8
"19197",24.8,63.7,67.7
"20001",25.9,76.8,72.9
"20003",25.8,77.5,72.9
"20005",25.8,74.2,72.1
"20007",28.7,57.7,72.4
"20009",28.2,54.6,70.7
"20011",25.9,76.8,72.9
"20013",26,69.8,71.3
"20015",25.9,71.4,71.6
"20017",26.4,69.9,72
"20019",26.5,75.2,73.6
"20021",26.4,74.7,73.3
"20023",27.6,46.6,67.4
"20025",28.7,54.5,71.5
"20027",27.7,61.5,71.9
